company,total_articles,total_env_score,total_social_score,total_gov_score,avg_env_norm,avg_social_norm,avg_gov_norm,env_articles,social_articles,gov_articles,controversy_score,avg_sentiment,negative_articles,positive_articles,neutral_articles,final_score,risk_rank,risk_tier
Occidental Petroleum,1,10,9,11,2.914,2.622,3.205,1,1,1,2.227,-0.7308,1,0,0,1.778,1,High Risk
Chevron,18,291,89,102,3.094722222222222,0.9500555555555555,1.2194444444444443,12,7,7,2.337,-0.4152,12,1,5,1.76,2,High Risk
ExxonMobil,11,365,33,59,3.816818181818182,0.6142727272727272,0.8350000000000001,9,2,4,2.327,-0.318,5,0,6,1.724,3,High Risk
BP,15,282,70,48,3.1645333333333334,0.637,0.8186,11,1,4,2.188,-0.4503,9,0,6,1.667,4,High Risk
shell,14,197,19,49,2.685642857142857,0.3115,0.8147857142857143,8,1,4,1.932,-0.4105,10,1,3,1.476,5,Medium Risk
PetroChina,5,62,74,17,1.786,2.2128,0.5114,3,3,1,1.699,-0.5354,4,0,1,1.35,6,Medium Risk
Gazprom,10,85,16,11,1.6730999999999998,0.3378,0.3254,5,0,0,1.421,-0.3932,7,0,3,1.113,7,Low Risk
Eni,3,34,1,21,2.337666666666667,0.106,1.7993333333333335,1,0,2,1.508,-0.0846,0,0,3,1.081,8,Low Risk
Sinopec,2,10,2,17,1.9545000000000001,0.3005,1.2785,1,0,1,1.256,-0.5986,1,0,1,1.059,9,Low Risk
Marathon Petroleum,2,20,78,6,0.486,2.9165,0.1025,1,2,1,1.126,-0.496,2,0,0,0.937,10,Low Risk
